EBT Packet Time	tracking	tracking time(s)	T[0,0]	T[0,1]	T[0,2]	T[0,3]	T[1,0]	T[1,1]	T[1,2]	T[1,3]	T[2,0]	T[2,1]	T[2,2]	T[2,3]	T[3,0]	T[3,1]	T[3,2]	T[3,3]	Frame Time(ms)	KUKA Data Time	x	y	z	a	b	c
1464723502.990243	1	0.44721	0.999626	0.012944	0.024074	-0.197739	-0.015341	0.994644	0.102212	-0.189364	-0.022622	-0.102543	0.994471	2.052672	0.000000	0.000000	0.000000	1.000000	38	1464723502.988000	-415.149200	312.235700	68.493300	-2.104000	-1.993500	-0.733100	
1464723503.033258	1	0.49022	0.999737	0.012838	0.018988	-0.198100	-0.014928	0.993327	0.114361	-0.190924	-0.017393	-0.114614	0.993258	2.052239	0.000000	0.000000	0.000000	1.000000	43	1464723503.023976	-417.748700	309.705500	68.336400	-2.101600	-1.987000	-0.731300	
1464723503.071493	0	0.52851	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	38	1464723503.060032	-420.346300	307.168900	68.172300	-2.098700	-1.979900	-0.728800	
1464723503.407142	0	0.33498	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	335	1464723503.396089	-444.600200	283.527300	66.312800	-2.057700	-1.908100	-0.707600	
1464723503.744142	0	0.33534	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	337	1464723503.744037	-469.611200	258.929100	63.692200	-1.993100	-1.815600	-0.675200	
1464723504.092399	0	0.34727	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	348	1464723504.092117	-494.480900	234.285900	60.370500	-1.905900	-1.704500	-0.637400	
1464723504.428133	0	0.33390	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	335	1464723504.428076	-518.353700	210.427300	56.512900	-1.798800	-1.580900	-0.593500	
1464723504.815274	1	0.38604	0.999506	0.016053	0.027023	-0.324083	-0.018894	0.993927	0.108407	-0.054505	-0.025119	-0.108864	0.993739	2.071636	0.000000	0.000000	0.000000	1.000000	387	1464723504.812048	-545.453500	183.129200	51.326200	-1.648900	-1.420700	-0.536200	
1464723504.852007	0	0.42278	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	36	1464723504.847979	-547.990700	180.554300	50.791400	-1.633300	-1.405100	-0.529500	
1464723505.179446	0	0.32675	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	327	1464723505.172034	-570.664000	157.473600	45.686900	-1.481400	-1.253200	-0.473900	
1464723505.507017	0	0.32655	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	327	1464723505.496039	-593.184700	134.349600	39.978400	-1.308100	-1.088400	-0.411800	
1464723505.850889	0	0.34260	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	343	1464723505.843994	-617.154800	109.482200	33.202500	-1.095600	-0.897400	-0.338200	
1464723506.178366	0	0.32540	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	327	1464723506.168058	-639.276800	86.337200	26.289400	-0.875200	-0.706900	-0.266300	
1464723506.576093	1	0.39702	0.999089	0.032882	0.027191	-0.446515	-0.035802	0.992721	0.114996	0.084237	-0.023212	-0.115865	0.992994	2.112404	0.000000	0.000000	0.000000	1.000000	397	1464723506.576024	-666.821900	57.150600	16.720000	-0.565500	-0.451100	-0.163600	
1464723506.610663	0	0.43160	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	34	1464723506.599950	-668.431700	55.431500	16.130700	-0.545800	-0.435400	-0.158000	
1464723507.003462	1	0.39177	0.999148	0.034855	0.022106	-0.485628	-0.037070	0.993314	0.109327	0.131168	-0.018147	-0.110053	0.993760	2.121670	0.000000	0.000000	0.000000	1.000000	392	1464723506.996012	-694.819100	27.104200	5.916100	-0.207800	-0.170200	-0.051500	
1464723507.036293	0	0.42466	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	32	1464723507.031894	-697.172000	24.536300	4.949000	-0.175100	-0.144700	-0.041400	
1464723507.356382	0	0.31910	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	319	1464723507.355952	-708.784000	12.022400	0.088200	-0.010400	-0.014900	0.003800	
1464723507.688198	0	0.33106	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	331	1464723507.679988	-708.908500	11.829800	0.039700	-0.014200	-0.019100	0.010700	
1464723508.079667	1	0.39030	0.998682	0.050058	0.011360	-0.530016	-0.050858	0.994909	0.087005	0.185136	-0.006947	-0.087468	0.996143	2.145488	0.000000	0.000000	0.000000	1.000000	391	1464723508.075892	-708.912900	11.780000	0.037000	-0.011100	-0.019400	0.011200	
1464723508.119090	1	0.42977	0.998735	0.049070	0.011009	-0.528829	-0.049862	0.994707	0.089844	0.186223	-0.006542	-0.090280	0.995895	2.147818	0.000000	0.000000	0.000000	1.000000	39	1464723508.111968	-708.912700	11.777600	0.036700	-0.010800	-0.019300	0.011100	
1464723508.156122	1	0.46673	0.998687	0.049891	0.011585	-0.529838	-0.050805	0.993635	0.100537	0.185335	-0.006495	-0.100994	0.994866	2.151541	0.000000	0.000000	0.000000	1.000000	37	1464723508.147895	-708.912700	11.777600	0.036700	-0.010800	-0.019300	0.011100	
1464723508.195260	1	0.50593	0.998717	0.049243	0.011803	-0.529319	-0.050216	0.993138	0.105615	0.185657	-0.006521	-0.106072	0.994337	2.153236	0.000000	0.000000	0.000000	1.000000	39	1464723508.183987	-708.916400	11.774600	0.035300	-0.010800	-0.019400	0.011200	
1464723508.233233	1	0.54383	0.998762	0.048415	0.011466	-0.529049	-0.049352	0.993257	0.104905	0.186533	-0.006310	-0.105341	0.994416	2.154009	0.000000	0.000000	0.000000	1.000000	37	1464723508.231872	-708.916700	11.776500	0.036700	-0.010600	-0.019400	0.011000	
1464723508.268394	1	0.57901	0.998736	0.048631	0.012680	-0.529847	-0.049750	0.992421	0.112360	0.185876	-0.007120	-0.112849	0.993587	2.155250	0.000000	0.000000	0.000000	1.000000	35	1464723508.267833	-708.917100	11.776600	0.036700	-0.010500	-0.019500	0.010900	
1464723508.309256	1	0.61991	0.998775	0.047692	0.013160	-0.529184	-0.048859	0.992639	0.110820	0.185877	-0.007778	-0.111327	0.993753	2.153977	0.000000	0.000000	0.000000	1.000000	40	1464723508.303984	-708.916900	11.774200	0.036400	-0.010500	-0.019500	0.010900	
1464723508.346143	1	0.65677	0.998793	0.047620	0.012048	-0.528682	-0.048620	0.993329	0.104566	0.186934	-0.006988	-0.105026	0.994445	2.153305	0.000000	0.000000	0.000000	1.000000	36	1464723508.339863	-708.916900	11.774200	0.036400	-0.010500	-0.019500	0.010900	
1464723508.386551	1	0.69723	0.998764	0.047752	0.013799	-0.529433	-0.048963	0.992983	0.107644	0.186563	-0.008562	-0.108186	0.994094	2.153822	0.000000	0.000000	0.000000	1.000000	40	1464723508.375880	-708.916900	11.774200	0.036400	-0.010500	-0.019500	0.010900	
1464723508.424240	1	0.73490	0.998742	0.047983	0.014559	-0.529907	-0.049310	0.992546	0.111453	0.185906	-0.009102	-0.112031	0.993663	2.154207	0.000000	0.000000	0.000000	1.000000	37	1464723508.423824	-708.917200	11.776100	0.037800	-0.010500	-0.019500	0.010600	
1464723508.461387	1	0.77202	0.998756	0.047448	0.015327	-0.529053	-0.048816	0.993092	0.106702	0.186178	-0.010158	-0.107317	0.994173	2.152648	0.000000	0.000000	0.000000	1.000000	37	1464723508.459883	-708.916800	11.774700	0.036400	-0.010500	-0.019500	0.010700	
1464723508.500928	1	0.81162	0.998763	0.047623	0.014272	-0.529225	-0.048863	0.993249	0.105212	0.186419	-0.009165	-0.105780	0.994347	2.153221	0.000000	0.000000	0.000000	1.000000	39	1464723508.495881	-708.920900	11.776100	0.036700	-0.010300	-0.019600	0.010600	
1464723508.536409	1	0.84707	0.998754	0.047961	0.013825	-0.528834	-0.049161	0.993126	0.106226	0.186293	-0.008635	-0.106773	0.994246	2.152945	0.000000	0.000000	0.000000	1.000000	35	1464723508.531855	-708.920900	11.773100	0.036400	-0.010300	-0.019600	0.010700	
1464723508.572447	1	0.88304	0.998773	0.047863	0.012693	-0.528896	-0.048933	0.993277	0.104909	0.186398	-0.007586	-0.105401	0.994401	2.153150	0.000000	0.000000	0.000000	1.000000	35	1464723508.567825	-708.920900	11.776100	0.036700	-0.010300	-0.019600	0.010600	
1464723508.611410	1	0.92199	0.998749	0.048357	0.012706	-0.529648	-0.049448	0.992926	0.107949	0.186360	-0.007396	-0.108442	0.994075	2.154457	0.000000	0.000000	0.000000	1.000000	38	1464723508.603851	-708.920900	11.773100	0.036400	-0.010300	-0.019600	0.010700	
1464723508.648135	1	0.95880	0.998737	0.048396	0.013490	-0.529339	-0.049568	0.992981	0.107390	0.186025	-0.008198	-0.107923	0.994125	2.154163	0.000000	0.000000	0.000000	1.000000	37	1464723508.639892	-708.921200	11.773800	0.036400	-0.010200	-0.019600	0.010600	
1464723508.685765	1	0.99633	0.998692	0.048986	0.014665	-0.529860	-0.050309	0.992620	0.110337	0.186004	-0.009151	-0.110930	0.993786	2.154729	0.000000	0.000000	0.000000	1.000000	37	1464723508.675877	-708.921200	11.773800	0.036400	-0.010200	-0.019600	0.010600	
